term,gene
AbSC_Pos,Lamtor1
AbSC_Pos,Eloc
AbSC_Pos,Pole4
AbSC_Pos,Eif3f
AbSC_Pos,Ppia
AbSC_Pos,Uchl3
AbSC_Pos,Actl6a
AbSC_Pos,Hspa8
AbSC_Pos,Mrpl54
AbSC_Pos,Hells
AbSC_Pos,Tmem234
AbSC_Pos,Morf4l1
AbSC_Pos,Sh3bgrl2
AbSC_Pos,Cd320
AbSC_Pos,Irf8
AbSC_Pos,Naca
AbSC_Pos,Denr
AbSC_Pos,Snrpb2
AbSC_Pos,Rps16
AbSC_Pos,Nop16
AbSC_Pos,Glrx3
AbSC_Pos,Alyref
AbSC_Pos,Anapc16
AbSC_Pos,Bloc1s2
AbSC_Pos,Lypla2
AbSC_Pos,Gm10076
AbSC_Pos,Psmd8
AbSC_Pos,H2-T23
AbSC_Pos,Rps26
AbSC_Pos,Rpl36a
AbSC_Pos,Lipt2
AbSC_Pos,Ciapin1
AbSC_Pos,Sf3b4
AbSC_Pos,Cdc42se1
AbSC_Pos,Kras
AbSC_Pos,Rac1
AbSC_Pos,Taf10
AbSC_Pos,Cetn3
AbSC_Pos,Itgb1
AbSC_Pos,Akr1a1
AbSC_Pos,Eif1a
AbSC_Pos,Fam103a1
AbSC_Pos,Rps27
AbSC_Pos,Nop14
AbSC_Pos,Emg1
AbSC_Pos,Srp14
AbSC_Pos,Nfkbib
AbSC_Pos,Dcakd
AbSC_Pos,Paip2
AbSC_Pos,Psma6
AbSC_Pos,Tmod3
AbSC_Pos,Gtf3c6
AbSC_Pos,Rfc3
AbSC_Pos,Gmps
AbSC_Pos,Sem1
AbSC_Pos,Eef1d
AbSC_Pos,Rsl24d1
AbSC_Diff,Bex1
AbSC_Diff,S100a6
AbSC_Diff,S100a11
AbSC_Diff,Fabp2
AbSC_Diff,Marcksl1
AbSC_Diff,Tmsb10
AbSC_Diff,Prap1
AbSC_Diff,Ifitm1
AbSC_Diff,Ifitm3
AbSC_Diff,Smim24
AbSC_Diff,Nkd1
AbSC_Diff,Cyba
AbSC_Diff,Mmp7
AbSC_Diff,Tm4sf5
AbSC_Diff,Igfbp4
AbSC_Diff,Ly6e
AbSC_Diff,Ly6a
AbSC_Diff,Krt18
AbSC_Diff,Ecscr
AbSC_Diff,H2-Q7
AbSC_Diff,Phgr1
AbSC_Diff,Wfdc18
AbSC_Diff,Ccl25
AbSC_Diff,Aldob
AbSC_Diff,Msx1
AbSC_Diff,Ier3
AbSC_Diff,Mgst3
AbSC_Diff,Mif
AbSC_Diff,Lgals4
AbSC_Diff,Fxyd3
AbSC_Diff,Cd74
AbSC_Diff,Aspscr1
AbSC_Diff,Krt7
AbSC_Diff,Adh1
AbSC_Diff,Lgals2
AbSC_Diff,Bst2
AbSC_Diff,Pigr
AbSC_Diff,Crip1
AbSC_Diff,Clu
AbSC_Diff,Tubb5
AbSC_Diff,Phlda1
AbSC_Diff,Cd9
AbSC_Diff,Cldn4
AbSC_Diff,Ckmt1
AbSC_Diff,Cox8a
AbSC_Diff,H2-D1
AbSC_Diff,Dmbt1
AbSC_Diff,Hsp90ab1
AbSC_Diff,Ly6d
AbSC_Diff,Scd2
AbSC_Diff,Isg15
AbSC_Diff,Stat1
AbSC_Diff,Arg2
AbSC_Diff,Rbm3
AbSC_Diff,Lypd8
AbSC_Diff,Pglyrp1
AbSC_Diff,S100a14
AbSC_Diff,Actg1
AbSC_Diff,Khk
AbSC_Diff,Rtp4
AbSC_Diff,Fabp1
AbSC_Diff,Psmb8
AbSC_Diff,Tnfrsf12a
AbSC_Diff,Emp2
AbSC_Diff,Cox7b
AbSC_Diff,Pycard
AbSC_Diff,Gsto1
AbSC_Diff,mt-Nd4
AbSC_Diff,Cox6a1
AbSC_Diff,Atp5g3
AbSC_Diff,Otc
AbSC_Diff,Pdlim7
AbSC_Diff,Cox7a2
AbSC_Diff,Prox1
AbSC_Diff,Hmgn1
AbSC_Diff,Iigp1
AbSC_Diff,Ifitm2
AbSC_Diff,Oat
AbSC_Diff,Glod5
AbSC_Diff,Hadh
AbSC_Diff,Krt23
AbSC_Diff,Calml4
AbSC_Diff,Bok
AbSC_Diff,Rbp2
AbSC_Diff,Cox4i1
AbSC_Diff,H2-K1
AbSC_Diff,Cps1
AbSC_Diff,Rpl41
AbSC_Diff,Cox6c
AbSC_Diff,Atp5j2
AbSC_Diff,Ctxn1
AbSC_Diff,Hebp2
AbSC_Diff,Cda
AbSC_Diff,Klk1
AbSC_Diff,Cfl1
AbSC_Diff,Serf2
AbSC_Diff,Dgat1
AbSC_Diff,H2-Eb1
AbSC_Diff,Aadac
AbSC_Diff,Plac8
AbSC_Diff,Pla2g12a
AbSC_Diff,Serpinb1a
AbSC_Diff,Fth1
AbSC_Diff,Sdhb
AbSC_Diff,Zbp1
AbSC_Diff,Cldn15
AbSC_Diff,Gstm3
AbSC_Diff,Xaf1
AbSC_Diff,Fuom
AbSC_Diff,Tm6sf2
AbSC_Diff,Fam213b
AbSC_Diff,Cox6b1
AbSC_Diff,Slc25a4
AbSC_Diff,Cgref1
AbSC_Diff,2-Mar
AbSC_Diff,Chchd10
AbSC_Diff,Tspan8
AbSC_Diff,Chmp4b
AbSC_Diff,Sox4
AbSC_Diff,Cideb
AbSC_Diff,Cryl1
AbSC_Diff,Atp5o.1
AbSC_Diff,Sult1d1
AbSC_Diff,Dhrs11
AbSC_Diff,Aamdc
AbSC_Diff,Lcn2
AbSC_Diff,Tceal9
AbSC_Diff,Igtp
AbSC_Diff,Ces2e
AbSC_Diff,B4galnt1
AbSC_Diff,Reg1
AbSC_Diff,H2-Ab1
AbSC_Diff,Gm1123
AbSC_Diff,Atpif1
AbSC_Diff,Prmt1
AbSC_Diff,Maoa
AbSC_Diff,Cd24a
AbSC_Diff,Atp5g1
AbSC_Diff,Ctsl
AbSC_Diff,St3gal4
AbSC_Diff,Ms4a10
AbSC_Diff,Spink1
AbSC_Diff,Sult1b1
AbSC_Diff,Adh6a
AbSC_Diff,Fbp2
AbSC_Diff,Ndufb9
AbSC_Diff,Nap1l1
AbSC_Diff,Rpsa
AbSC_Diff,Mttp
AbSC_Diff,Atp5l
AbSC_Diff,Cyb5a
AbSC_Diff,Tmsb4x
AbSC_Diff,Cox5b
AbSC_Diff,Calm1
AbSC_Diff,Rnf186
AbSC_Diff,Muc13
AbSC_Diff,Rpl19
AbSC_Diff,Ppp1r14d
AbSC_Diff,Prdx2
AbSC_Diff,Cebpd
AbSC_Diff,Dynll1
AbSC_Diff,Rpl11
AbSC_Diff,Psme1
AbSC_Diff,Ndufb10
AbSC_Diff,Txn1
AbSC_Diff,Cd44
AbSC_Diff,Rpl6
AbSC_Diff,Acaa2
AbSC_Diff,Vdr
AbSC_Diff,Krtcap2
AbSC_Diff,Chp2
AbSC_Diff,Tspan3
AbSC_Diff,Pmepa1
AbSC_Diff,Cmbl
AbSC_Diff,Minos1
AbSC_Diff,Sis
AbSC_Diff,Clca4b
AbSC_Diff,H2-Q4
AbSC_Diff,Slc25a5
AbSC_Diff,Ets2
AbSC_Diff,Cdhr5
AbSC_Diff,Apoc3
AbSC_Diff,mt-Nd2
AbSC_Diff,Uqcr11
AbSC_Diff,Myl12a
AbSC_Diff,Mdh2
AbSC_Diff,Pebp1
AbSC_Diff,Acp5
AbSC_Diff,Blvrb
AbSC_Diff,Krt20
AbSC_Diff,Mpc2
AbSC_Diff,Rps14
AbSC_Diff,Gstp1
AbSC_Diff,Uqcrfs1
AbSC_Diff,Tspo
AbSC_Diff,Ifi47
AbSC_Diff,Gapdh
AbSC_Diff,Scp2
AbSC_Diff,Oas1a
AbSC_Diff,Cd302
AbSC_Diff,Fahd1
AbSC_Diff,Bpnt1
AbSC_Diff,Aldh1b1
AbSC_Diff,Akr1c19
AbSC_Diff,Mapk13
AbSC_Diff,Rps23
AbSC_Diff,Ncl
AbSC_Diff,BC030870
AbSC_Diff,Cela1
AbSC_Diff,B2m
AbSC_Diff,Chchd7
AbSC_Diff,Sri
AbSC_Diff,Rtn4
AbSC_Diff,Cdh17
AbSC_Diff,Prlr
AbSC_Diff,Clec2h
AbSC_Diff,Ndufa5
AbSC_Diff,Rps15
AbSC_Diff,Alpi
