term,gene
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",BIRC5
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",BRCA1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",BRCA2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)","BTF3,"
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",BUB1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",BUB1B
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",C10orf86
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",C11orf73
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",C14orf104
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",C14orf106
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",C15orf23
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",C17orf68
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",C18orf24
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",C1orf155
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",C1orf181
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",C1orf31
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",C1QDC1
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",C2orf3
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",C2orf37
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",C3orf26
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",C4orf21
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",C5orf24
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",C6orf173/CUG2
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",C6orf75
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",C8orf30A
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",C9orf41
"Down-regulated genes by Ctnnb1 deletion (Fevr et al., 2007)",C9orf77
